sitename,1961,1965,1967,1968,1971,1973,1975,1976,1978,1979,1981,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015
ADAK/LAKE POINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,350,311,NA,NA,338.5,318.5,309.5,NA,NA,250,NA
ADUGAK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844,NA,NA,NA,NA,262,NA,NA,NA,180,NA,NA,NA,135,153,NA,160,NA,167,185,NA,NA,276.5,241.5,249.5,NA,NA,294,NA
AGATTU,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,1218,907,1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGATTU/CAPE SABAK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,314,NA,NA,212,NA,159,113,94,83,NA,NA,65.125,69,59.6,44.5,43
AGATTU/GILLON POINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,213,NA,NA,159,NA,174,157,NA,142.5,NA,NA,83,63.5,102,80.5,NA
AKUN/BILLINGS HEAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,63,64,NA,51,69,NA,NA,NA,56,41,NA,55,NA,85,NA,119,NA,144.5,NA,135.5,NA,NA,NA,138.5
AKUTAN/CAPE MORGAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,NA,NA,NA,NA,442,NA,558,NA,631,NA,NA,NA,505,NA,508,NA,497,480,571,NA,NA,688,729.5,733.5,NA,NA,747.5,NA
AMCHITKA/COLUMN ROCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,114,NA,NA,NA,70,NA,NA,52,NA,45,44,NA,NA,39.5,NA,NA,15.333333333333334,NA,NA,NA
ATKINS,NA,NA,NA,NA,NA,NA,NA,NA,2750,4538,NA,NA,2093,NA,1072,NA,NA,NA,433,485,NA,419,324,NA,366,NA,352,262,NA,224,128,244,328,NA,NA,337.5,NA,379.5,NA,255,315,NA
ATTU/CAPE WRANGELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,154,NA,NA,75,NA,47,47,NA,NA,NA,NA,22.555555555555557,24,32,34.5,24
AYUGADAK,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,329,NA,NA,NA,NA,163,NA,NA,NA,142,NA,NA,NA,89,NA,NA,90,NA,56,83,NA,NA,43.5,NA,NA,48.25,49.57142857142857,42,NA
BIALI ROCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,71,100,NA,NA,143.5,85,NA,NA,185,NA,204
BOGOSLOF/FIRE ISLAND,NA,NA,NA,NA,NA,2328,NA,NA,NA,914,NA,NA,NA,1109,NA,NA,NA,358,461,501,NA,322,NA,282,NA,281,220,249,NA,180,NA,247.5,225,NA,NA,281.5,332.5,323,NA,NA,337,NA
BULDIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,1142,NA,NA,NA,NA,NA,NA,460,494,381,NA,NA,NA,NA,120,NA,120,122,NA,NA,42,NA,NA,26,NA,NA,NA,NA,NA,0,NA,NA,NA
BULDIR/EAST CAPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
BULDIR/NW ROCKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
BULDIR/ROOKERY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,7,NA,NA,NA,NA,0,NA,NA
CHERNABURA,NA,NA,NA,NA,NA,NA,NA,NA,486,646,NA,NA,200,NA,379,NA,NA,NA,197,NA,211,NA,139,NA,NA,NA,54,NA,92,NA,82,153,134,NA,NA,244,NA,249.5,NA,248,266.5,NA
CHIRIKOF,NA,NA,NA,NA,NA,NA,NA,NA,1573,1649,NA,NA,1913,NA,1476,NA,NA,709,607,656,NA,344,325,NA,NA,NA,184,187,NA,225,NA,189,123,NA,NA,216,82.5,185.5,NA,195.5,NA,250
CHISWELL ISLANDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,33,44,NA,NA,64,48,83.5,NA,76.5,NA,102
CHOWIET,NA,NA,NA,NA,NA,NA,NA,NA,4670,5485,NA,NA,3207,NA,1731,NA,NA,820,343,NA,636,NA,625,NA,NA,NA,234,NA,278,NA,368,262,370.5,NA,NA,360.5,321,453,NA,612.5,NA,541.5
CLUBBING ROCKS,NA,NA,NA,NA,NA,NA,NA,NA,725,1419,NA,NA,1394,NA,NA,NA,NA,NA,NA,NA,433,NA,547,NA,NA,NA,448,NA,NA,NA,NA,392,528,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLUBBING ROCKS NORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,194,NA,192,NA,NA,244.5,NA,282.5,NA,292,231.5,NA
CLUBBING ROCKS SOUTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,372,NA,391,NA,NA,533.5,NA,545.5,NA,601,487,NA
FORRESTER COMPLEX,1096,NA,NA,NA,NA,2371,NA,NA,NA,2187,NA,2120,2568,NA,1954,NA,2202,2844,2932,3261,NA,NA,2757,2869,2764,2798,2753,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FORRESTER/C HORN RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,NA,NA,303,NA,NA,441,165,NA,NA,268.5,NA,420.5
FORRESTER/LOWRIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,NA,NA,1508,NA,NA,1734.5,1608.5,NA,NA,1717.5,NA,1552
FORRESTER/NORTH RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030,NA,NA,951,NA,NA,1223,471.5,NA,NA,577,NA,1143
FORRESTER/SEA LION RK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,NA,NA,533,NA,NA,638,428,NA,NA,499,NA,631
GRAMP ROCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,909,NA,NA,NA,NA,448,NA,NA,NA,425,NA,NA,NA,456,NA,NA,444,NA,439,387,NA,NA,332.5,299,NA,NA,NA,236.5,NA
GRAVES ROCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,175,NA,NA,439.5,NA,NA,NA,551,NA,501.5
HAZY,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,349,638,808,NA,759,862,NA,768,1157,1199,NA,NA,1248,NA,1271,1286,NA,NA,1976,1357,NA,NA,1837,NA,1994.5
JUDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,61,160.5,187,NA,NA,270,NA,300.5,NA,340.5,304.5,NA
KANAGA/SHIP ROCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,221,NA,NA,213.5,213.5,208.5,NA,NA,207,NA
KASATOCHI/NORTH POINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,892,NA,NA,NA,NA,178,NA,NA,NA,215,NA,NA,268,247,NA,NA,302,NA,340.5,372,NA,NA,393.5,353.5,373,NA,NA,376.5,NA
KISKA/CAPE ST STEPHEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,300,258,212,NA,NA,NA,120,NA,NA,NA,54,NA,NA,71,NA,75,82,86,NA,91,NA,39.375,45.333333333333336,54.833333333333336,71,27.75
KISKA/LIEF COVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,NA,NA,NA,882,NA,NA,NA,293,221,NA,NA,NA,233,NA,NA,NA,179,NA,NA,158,NA,101,115,48,NA,80.5,NA,NA,NA,67.375,84.5,42.4
LIGHTHOUSE ROCKS,NA,NA,NA,NA,NA,NA,NA,NA,250,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,NA,17,11,NA,NA,15.5,NA,9,NA,8,NA,23.5
MARMOT,NA,NA,NA,NA,NA,NA,NA,NA,6140,6741,NA,NA,5751,NA,4381,2910,3136,2199,NA,1611,NA,986,804,NA,632,760.5,642,NA,NA,NA,NA,494,433,NA,NA,509,275.5,524.5,NA,557,NA,623.5
OGCHUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,42,NA,47,NA,69,43,71.5,NA,NA,90,116.5,109,NA,NA,130.5,NA
OUTER (PYE),NA,NA,NA,NA,NA,NA,NA,500,431,888,NA,NA,1034,NA,933,NA,NA,557,363,180,NA,181,119,NA,NA,106,113,108,NA,58,NA,63,104,NA,NA,122,101.5,145,NA,133,NA,150
PINNACLE ROCK,NA,NA,NA,NA,NA,NA,NA,NA,615,2748,NA,NA,2013,NA,NA,NA,NA,NA,NA,794,NA,773,652,NA,NA,NA,639,634,NA,769,NA,560,643,NA,NA,557.4,NA,748,NA,742.5,714.5,NA
SEA LION ROCK (AMAK),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,160,NA,181,158,NA,NA,185,154,200,NA,NA,185,NA
SEAL ROCKS,NA,NA,NA,NA,NA,NA,NA,316,545,491,NA,NA,799,NA,NA,NA,NA,553,571,657,NA,566,598,NA,352,487,542,NA,500,NA,543,573,532,NA,NA,739.5,514.25,727.5,NA,802.5,NA,673.5
SEGUAM/SADDLERIDGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2475,NA,NA,NA,2635,NA,NA,NA,529,684,NA,NA,NA,444,NA,NA,463,479,NA,468,NA,NA,511.5,530,NA,NA,540,517.5,504.5,NA,NA,530.5,NA
SOUTH ROCKS,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,44,NA,NA,60,NA,70.5,NA,63.5,NA,NA
SUGARLOAF,NA,3391,5200,3e3,3500,NA,3500,3500,5021,5123,NA,NA,3114,NA,3077,NA,NA,2109,1638,NA,1e3,NA,958,NA,NA,673,703,NA,490,NA,NA,488,559,NA,NA,613,424.5,767,NA,861.5,NA,902.5
TAG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,NA,NA,NA,NA,357,NA,NA,NA,234,NA,NA,NA,238,NA,NA,153,NA,150,144,NA,NA,130.5,135,NA,49.25,NA,104.5,53.666666666666664
UGAMAK COMPLEX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1635,1386,NA,NA,434,847,813,NA,711,574,NA,706,589,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UGAMAK/NORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,352,319,415,NA,NA,511.5,NA,484,NA,NA,402.5,NA
UGAMAK/ROUND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16,6,39,30.5,44.5,NA,NA,71,NA,154,NA,NA,160.5,NA
UGAMAK/UGAMAK BAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,295,235,268.5,NA,NA,326.5,NA,331,NA,NA,241.5,NA
ULAK/HASGOX POINT,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,1236,NA,NA,NA,NA,790,NA,NA,NA,638,NA,NA,NA,521,NA,NA,331,NA,257,338,NA,NA,272,264,NA,120.5,NA,175.25,NA
USHAGAT/SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,38,84,NA,100.5,NA,125.5
WALRUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,334,NA,NA,NA,114,NA,250,NA,63,NA,NA,61,NA,NA,35,NA,NA,39,NA,NA,NA,28,NA,NA,NA,14,NA,NA,NA,NA,48
WHITE SISTERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,95,116,115,151,NA,182,205,282,NA,NA,403,NA,488,520,NA,NA,847,NA,NA,NA,924.5,NA,910.5
WOODED (FISH),NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,305,NA,232,123,147,149,NA,NA,173,123,125,NA,NA,177.5,223.5,225,NA,275.5,NA,340
YUNASKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,1026,NA,NA,NA,NA,230,NA,NA,NA,217,NA,NA,192,161,136,NA,145,NA,110,NA,NA,NA,170.5,185,166.5,NA,NA,NA,167
